category,mean,median,std,count
economic,0.07148689547560234,0.0910666917391022,0.03657151955834962,21
high,0.0440245741059495,0.0440245741059495,,1
crypto,0.02740640432951839,0.0053008006802262,0.10710615730164263,166
stocks,0.027295908586805785,0.0130422112774242,0.0893154197092739,191
fixed,0.016607380577304716,0.00610313779369165,0.06586177275769665,132
volatility,0.011693641028268191,0.0127891456329888,0.105540157937313,48
bull,0.0,0.0,,1
low,0.0,0.0,,1
bear,-0.0040992669942257,-0.0040992669942257,,1
trend,-0.0122391432759198,-0.0122391432759198,,1
vix,-0.047439914610503,-0.047439914610503,,1
